hh_size,au20,a20-29,a30-44,a45-59,a60-69,a70+,freq
1,0,0,0,0,0,1,2333003
1,0,0,1,0,0,0,1322798
1,0,0,0,0,1,0,1198672
1,0,0,0,1,0,0,1059917
1,0,1,0,0,0,0,330915
1,1,0,0,0,0,0,165741
2,0,0,0,2,0,0,2844768
2,0,0,0,0,2,0,2311881
2,0,0,2,0,0,0,1678150
2,0,2,0,0,0,0,1121367
2,1,0,1,0,0,0,388921
2,1,1,0,0,0,0,325208
2,1,0,0,1,0,0,279270
2,0,0,0,0,0,2,169829
2,1,0,0,0,1,0,20310
2,1,0,0,0,0,1,14003
3,1,0,2,0,0,0,1939849
3,1,0,0,2,0,0,1560004
3,1,2,0,0,0,0,1122335
3,0,1,0,0,0,0,535485
3,0,0,1,0,0,0,484081
3,1,0,0,0,0,0,480145
3,0,0,0,0,1,0,194225
3,1,0,0,0,2,0,150018
3,0,0,0,1,0,0,141971
3,1,0,0,0,0,2,71822
4,2,0,2,0,0,0,3329444
4,2,0,0,2,0,0,2428865
4,2,2,0,0,0,0,1505027
4,2,0,0,0,2,0,580766
4,2,0,0,0,0,2,264373
4,0,0,0,0,0,0,178495
4,0,0,0,0,0,0,161360
4,0,0,0,0,0,0,160048
4,0,0,0,0,0,0,64742
4,0,0,0,0,0,0,47324
5,3,0,2,0,0,0,1109815
5,3,0,0,2,0,0,809622
5,3,2,0,0,0,0,501676
5,3,0,0,0,2,0,193589
5,3,0,0,0,0,2,88124
